配信順,楽曲ID,楽曲名,読み仮名,見出し用,再生時間,楽曲定数,ユニット,MV,配信日,Ap配信日,Lv.Ea,Lv.No,Lv.Ha,Lv.Ex,Lv.Ma,Lv.Ap,,,,読み1,読み2,読み3,読み4,読み5,読み6,読み7,読み8,読み9,読み10,
492,499,混沌ブギ,こんとんぶぎ,こ,124.1,114,4_WxS,3D,2024/12/29,,9,14,19,25,30,33,,,,,,,,,,,,,,
493,562,アンヘル,あんへる,あ,124.8,114,0_VS,-,2024/12/30,,8,12,19,27,31,33,,,,,,,,,,,,,,
494,561,プロトディスコ,ぷろとでぃすこ,ふ,129.4,116,0_VS,-,2024/12/31,,6,12,18,26,32,34,,,,,,,,,,,,,,
495,513,CH4NGE,ちぇんじ,ち,135.1,117,3_VBS,原曲,2025/01/01,,6,11,17,24,28,,,,,ちぇいんじ,,,,,,,,,,
496,554,snooze,すぬーず,す,126.9,115,2_MMJ,-,2025/01/02,,7,13,19,26,32,33,,,,ｓのおｚ,ｓのおぜ,,,,,,,,,
497,534,ワールド・ランプシェード [reunion],わーるどらんぷしぇーどれゆにおん,わ,128.9,114,1_L/n,原曲,2025/01/03,,8,14,18,25,30,,,,,わんぷしぇーど,,,,,,,,,,
498,558,のだ,のだ,の,121.1,113,0_VS,原曲,2025/01/04,,6,12,18,25,30,33,,,,,,,,,,,,,,
499,556,サイハテ,さいはて,さ,130.5,116,5_25,原曲,2025/01/05,,6,12,17,23,28,,,,,,,,,,,,,,,
500,484,Henceforth,へんすふぉーす,へ,126.3,115,1_L/n,3D,2025/01/10,,7,12,18,25,29,,,,,へｎ,へんｃ,へんせｆ,へんせふぉｒｔｈ,,,,,,,
501,581,厨病激発ボーイ,ちゅうびょうげきはつぼーい,ち,131.3,116,4_WxS,-,2025/01/14,,9,13,19,27,32,,,,,,,,,,,,,,,
502,508,ヘイヴン,へいゔん,へ,116.5,112,3_VBS,2D/3D,2025/01/19,,7,12,19,26,30,,,,,へいぶん,,,,,,,,,,
503,565,夏に透明,なつにとうめい,な,121.3,112,0_VS,-,2025/01/21,,6,13,17,24,28,,,,,,,,,,,,,,,
504,566,パンダヒーロー,ぱんだーひーろー,は,100.5,106,0_VS,-,2025/01/22,,8,13,18,24,30,,,,,,,,,,,,,,,
505,567,結ンデ開イテ羅刹ト骸,むすんでひらいてらせつとむくろ,む,130.5,115,0_VS,-,2025/01/23,,7,13,18,24,29,,,,,らせつとむくろ,,,,,,,,,,
506,576,ファイアダンス,ふぁいあだんす,ふ,91.5,104,3_VBS,2D,2025/01/25,,6,12,18,25,29,,,,,,,,,,,,,,,
507,564,そこに在る、光。,そこにあるひかり,そ,96.5,106,5_25,2D,2025/01/28,,6,12,16,22,27,,,,,,,,,,,,,,,
508,579,Worlders,わーるだーず,わ,132.9,116,9_oth,2D,2025/01/29,,7,13,18,24,28,,,,,をｒｌｄ,をｒｌでｒｓ,,,,,,,,,
509,575,FUN!!,ふぁん,ふ,95.5,105,2_MMJ,2D,2025/01/31,,8,13,17,25,29,,,,,ふｎ,,,,,,,,,,
510,547,終焉逃避行,しゅうえんとうひこう,し,100,106,1_L/n,-,2025/02/01,,6,12,18,25,29,,,,,とうひこう,,,,,,,,,,
511,577,スマイル*シンフォニー,すまいるしんふぉにー,す,94.2,106,4_WxS,-,2025/02/03,,5,12,17,24,28,,,,,すましん,,,,,,,,,,
512,574,SToRY,すとーりー,す,96.9,105,1_L/n,-,2025/02/06,,8,13,18,25,29,,,,,ｓとｒｙ,すとおりい,,,,,,,,,
513,593,クリスタルスノウ,くりすたるすのう,く,104.8,108,0_VS,原曲,2025/02/08,,6,12,17,23,26,,,,,,,,,,,,,,,
514,578,ハローセカイ,はろーせかい,は,105.2,108,0_VS,2D,2025/02/09,,7,12,17,24,28,,,,,はろおせかい,,,,,,,,,,
515,582,アンチユー,あんちゆー,あ,119.5,112,2_MMJ,2D,2025/02/10,,6,12,17,24,28,,,,,あんちゆう,,,,,,,,,,
516,587,ルルブ,るるぶ,る,124.6,114,0_VS,-,2025/02/12,,9,14,18,27,31,,,,,るるぶ,,,,,,,,,,
517,555,フュージョン,ふゅーじょん,ふ,123.7,114,9_oth,2D,2025/02/15,,8,13,18,27,30,34,,,,ふゅうじょん,ひゅーじょん,ひゅうじょん,,,,,,,,
518,490,ルーマー,るーまー,る,123,114,3_VBS,3D,2025/02/21,,6,12,16,24,28,,,,,るうまあ,,,,,,,,,,
519,536,Fire◎Flower (Rerec),ふぁいあーふらわーりれっく,ふ,103.9,108,9_oth,2D/3D,2025/03/02,,8,13,17,25,29,,,,,ふぃｒ,ふぃれｆｌ,ふぃれｆぉｗ,ふぃれｆぉうぇｒ,ふぃれｆぉうぇっｒ,ふぃれｆぉうぇっれｒ,ふぃれｆぉうぇっれれｃ,,,,
520,580,三日月ステップ,みかづきすてっぷ,み,122.2,113,3_VBS,原曲,2025/03/03,,7,12,17,25,28,,,,,みかずきすてっぷ,,,,,,,,,,
521,521,オーバーライド,おーばーらいど,お,120.1,112,2_MMJ,3D,2025/03/07,,9,14,18,26,31,,,,,おおばあらいど,,,,,,,,,,
522,604,Packaged,ぱっけーじど,は,128.8,115,0_VS,-,2025/03/09,,6,12,16,22,26,,,,,ぱｃｋ,ぱｃかｇ,ぱｃかげｄ,,,,,,,,
523,509,ライアーダンサー,らいあーだんさー,ら,123.1,113,4_WxS,3D,2025/03/10,,7,12,18,26,31,,,,,らいああだんさあ,,,,,,,,,,
524,588,プラネットヒーロー,ぷらねっとひーろー,ふ,121.1,112,0_VS,-,2025/03/14,,9,13,19,28,33,,,,,ぷらねっとひいろお,,,,,,,,,,
525,520,透明エレジー,とうめいえれじー,と,122.9,114,1_L/n,3D,2025/03/17,,9,12,17,25,30,,,,,とうめいえれじい,,,,,,,,,,
